Module,Title,ECTS,Exam Type,Exam Date,Link to Modul,Link to Exam
M-INFO-101248,Kurven im CAD,5.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xBD3A9FB3EC9CE646B1CDF58180E3B03E&camvguid=0xC62ABD2EC9122848A596E7F5ACC3FD3D&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0xB0DC4712953F4B528EDC7FADF39B6D34&camvguid=0xC62ABD2EC9122848A596E7F5ACC3FD3D&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-101254,Flächen im CAD,5.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x4C36630788E6A148AC76AE7B5A52BDA7&camvguid=0xBADD09F40E8E6E48AF6C747606A36461&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x5229E97E335B4E11942F26D90DE9FA4E&camvguid=0xBADD09F40E8E6E48AF6C747606A36461&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-101573,Hands-on Bioinformatics Practical,3.0,Not Found,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x5F8E1067CD73A84F9F28127650FF1DD0&camvguid=0xB7ED02828C159B41BAB2F851774F8483&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,Not Found
M-INFO-101636,Web-Anwendungen und Serviceorientierte Architekturen (I),4.0,Not Found,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x042CD5FC054DEC4C8EC1C8FCC232B8FD&camvguid=0xDA6E978284F43F459307E47EAD0FBCE3&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,Not Found
M-INFO-101173,Algorithmen II,6.0,Schriftliche Prüfung,17.09.2023,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xD7207E3CD8D4D04E9008A0D40D2B7C43&camvguid=0xA90024F2D0201E40BDFF6D684C5FEBB9&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x54ACB621087C4974B6AAE3533226E49C&camvguid=0xA90024F2D0201E40BDFF6D684C5FEBB9&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-101575,"Komplexitätstheorie, mit Anwendungen in der Kryptographie",6.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xA6EC25D9C88AE94595A9FC0A29A93048&camvguid=0xEC24694785FCE94D92411874F9EDCDAB&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x80756A5309044000853A1011EB202F68&camvguid=0xEC24694785FCE94D92411874F9EDCDAB&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-101857,Rationale Splines,3.0,Not Found,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x072CA4C71E13254F9E1AE49AF8DFF167&camvguid=0x7012F379CD26B248808E0C3A34266ABC&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,Not Found
M-INFO-101863,Unterteilungsalgorithmen,3.0,Not Found,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x286D4EF4E656F647B0C2A7283BE91AB3&camvguid=0xAE6A0033CF0F004A99656659904C3F24&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,Not Found
M-INFO-101853,Rationale Splines,5.0,Not Found,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xC3FA42699E53D34FBAD5E34F42425EF0&camvguid=0x6BD41156D454EC46BBE43C3CECA51E5B&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,Not Found
M-INFO-101885,Energieinformatik 1,5.0,Studienleistung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x80EC243504E4C74C98464F034227A2D1&camvguid=0x2016988283384856BCAA49245608770E&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0xF51F6002289F4BC3BD360DCA0BA06FE7&camvguid=0x2016988283384856BCAA49245608770E&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-101864,Unterteilungsalgorithmen,5.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xD7DFB11DA2C4B045898A0F7979920D50&camvguid=0x15DA53C97EDFF042B85793BED3F30BAC&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x825589B555164F28A85643A6540B7FDE&camvguid=0x15DA53C97EDFF042B85793BED3F30BAC&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-101249,Mobile Computing und Internet der Dinge,5.0,Schriftliche Prüfung,31.07.2023,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xA1C6FFEF49070A4F84906B4FF94FE536&camvguid=0x96C44DD6FA034448B4BEC0C410F96CB2&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x8B8CAF96792943F09DAE8A256ADA2655&camvguid=0x96C44DD6FA034448B4BEC0C410F96CB2&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-102093,Algorithmen für Ad-hoc- und Sensornetze,5.0,Not Found,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xDADD7FB09304E14EA8686BF368531CF7&camvguid=0x3EA39DE9A156ED46A6675FEA9523DED1&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,Not Found
M-INFO-100893,Robotik I - Einführung in die Robotik,6.0,Schriftliche Prüfung,05.07.2023,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x5D4CDD2216E2064AB79D29D0D7352F1B&camvguid=0x1DA73255A2D6411597352EE9CA9AC1E7&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0xB9B4F32A424B4C67B09B7B145F26F060&camvguid=0x1DA73255A2D6411597352EE9CA9AC1E7&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-102226,Angewandte Differentialgeometrie mit Übung,5.0,Not Found,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x2618F58075C8D34DAB82B2EDE62C4D89&camvguid=0xFBD40FE1DE2C4A48B9B744814C68BC3A&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,Not Found
M-INFO-102094,Algorithmen zur Visualisierung von Graphen,5.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xE64673B0BE10D241B032DE786922A70A&camvguid=0xC9E7F598277C5A48859E1F39E424E918&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x7E4495A1DC4340CEAFB25C22734C254F&camvguid=0xC9E7F598277C5A48859E1F39E424E918&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-102110,Algorithmische Geometrie,6.0,Not Found,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x5209947B0865E0428A350951FD46F2EF&camvguid=0xACBB5E42EACF4C09AF515FA3BFCAC404&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,Not Found
M-INFO-102400,Algorithmische Methoden zur Netzwerkanalyse,5.0,Not Found,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xF9DEA9937C075C498172FEB617E31931&camvguid=0x75A19BA14657534EB5CC27B0F09E7DF2&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,Not Found
M-INFO-102731,Fortgeschrittene Datenstrukturen,5.0,Prüfungsleistung anderer Art,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xD7227FBDD9AB8F4D9F3537B6A2F0C853&camvguid=0x2E2DBC84EBC54DA49FE3120E0181029C&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x45414D4620374BD3BEA7B9C45F76CDB5&camvguid=0x2E2DBC84EBC54DA49FE3120E0181029C&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-102962,Testing Digital Systems II,3.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xCCD5E3C1983E714ABF0BDBA033D060FF&camvguid=0x166D5D79D1FDDB49974B723942496DDE&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x0EE479956DD9410AAA3828B5E77E8F81&camvguid=0x166D5D79D1FDDB49974B723942496DDE&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-102968,Biometrische Systeme zur Personenerkennung,3.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x6AC1EB0186EBFE49BA08DFB55ABE1BE2&camvguid=0x0071F48DBC52394B995E093FF3C97067&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x4241F5C5DFF448E4BBEB134908007183&camvguid=0x0071F48DBC52394B995E093FF3C97067&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-103044,Energieinformatik 2,5.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xE171A8FE39467A44AA4882B2B7AF8CC7&camvguid=0x0B27C758A9BD46F784253CFF89E0F1C9&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x6E3D2CD783844D039336BBE5E752F6CB&camvguid=0x0B27C758A9BD46F784253CFF89E0F1C9&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-104357,Praktische Einführung in die Hardware Sicherheit,6.0,Not Found,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x064B3E7F728242B2A58620BA360D11E0&camvguid=0x22A9F60EFE50415B8E51F9ED0353A8B0&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,Not Found
M-INFO-104447,Automated Planning and Scheduling,5.0,Not Found,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x16E361D16BDF4833AFA53C404B756725&camvguid=0xD440DB5E400D4CACAFEB17DAC1C2A127&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,Not Found
M-INFO-104892,Angewandte Differentialgeometrie ,3.0,Not Found,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xBAACFFA72EC9455E9B440AC3C13315FF&camvguid=0x0004F326790E4CD0B2D039BDC070032B&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,Not Found
M-INFO-104877,Sichere Mensch-Roboter-Kollaboration,3.0,Not Found,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x18EA8D02C0394FF497902F4B7FDAF8D4&camvguid=0xABE35E7AA6054B179B39D6B74F4EFB41&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,Not Found
M-INFO-104894,Reinforcement Learning und neuronale Netze in der Robotik,3.0,Not Found,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x8D0F98D930D446F6A5D525EE4ABAB6B3&camvguid=0x6A34411CDD3747F3B0DFC2DFB7A33A12&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,Not Found
M-INFO-105311,Konzepte zur Verarbeitung geometrischer Daten,5.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xE3AAE481954446B2B7D97107684A7511&camvguid=0x142C266A19EF4FD9BF2BE7C6C8E85710&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x9F3D8EE07B494805A3645C6EB7FA3844&camvguid=0x142C266A19EF4FD9BF2BE7C6C8E85710&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-104045,Datenschutz von Anonymisierung bis Zugriffskontrolle,3.0,Schriftliche Prüfung,17.10.2023,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x78175AEF66384879BA1C7AB78841552F&camvguid=0xB1F0E74E6B024FAB985E8462F11FF007&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x8A53CAD8F16B4F779DE5FF2A427FF370&camvguid=0xB1F0E74E6B024FAB985E8462F11FF007&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-105329,Optimization Methods for Machine Learning and Engineering,5.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x31E90D60F4CE434B810FBE452C9ED06C&camvguid=0x377B0AB89C204EF8B561B95913274CD1&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0xD1498BB3F6FC43798289D6625F920EAD&camvguid=0x377B0AB89C204EF8B561B95913274CD1&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-102756,Robotik II - Humanoide Robotik,3.0,Schriftliche Prüfung,25.08.2023,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x2C31C09D15CB774E80FEA70864E58743&camvguid=0x75AC25E6441849F1909F7F0CD611F5AF&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0xDFA6B24A3FA1455681AE3AA942021DBC&camvguid=0x75AC25E6441849F1909F7F0CD611F5AF&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-105334,"Decentralized Systems: Fundamentals, Modeling, and Applications",6.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x85545BB9B60F4BF082DC892ECD643C63&camvguid=0x7DC6D82835874F559864105F5D588C66&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0xA93202774AE24AEB83F40D74A02AFC94&camvguid=0x7DC6D82835874F559864105F5D588C66&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-105376,Maschinelles Lernen für die Computersicherheit,5.0,Not Found,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xB7E57E0252194B8CB309D76C580C7F03&camvguid=0x7EC7E7ACA6944A3E89176E71AC10B4B6&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,Not Found
M-INFO-104460,Deep Learning und Neuronale Netze,6.0,Schriftliche Prüfung,30.08.2023,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x042EF637012744F6B0B46FFB29E50A36&camvguid=0xD30C3F7D04FF4EA6A59E968607B4D9B1&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0xC57DF546C65E43E59CC3C7C47EF7239A&camvguid=0xD30C3F7D04FF4EA6A59E968607B4D9B1&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
