Title,ECTS,Link
M-INFO-100744 – Formale Systeme II: Anwendung,5.0,../../campus/all/abstractModuleView.asp?gguid=0x3BB56B060A9B6E4B947C8588A21B5CAD&camvguid=0x2EB028EF55A7BE409523106BFCF879FF&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100746 – Seminar Hot Topics in Networking,3.0,../../campus/all/abstractModuleView.asp?gguid=0x9439D5EA4DB8F94FA19F1C420FA2C41B&camvguid=0x5CC8AB28CFF0A14AAF22F01E72BA55E3&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100747 – Integriertes Netz- und Systemmanagement,4.0,../../campus/all/abstractModuleView.asp?gguid=0x72B40B05A86A0949B93331C1D9512C52&camvguid=0xE35DD8BE15157447BF28D542691E2D8A&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100749 – Introduction to Bioinformatics for Computer Scientists,3.0,../../campus/all/abstractModuleView.asp?gguid=0x02D0C2BA22FC594E9352F85138F5CD85&camvguid=0x2CC5A5789E962543B9AE58D717AE43AE&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100750 – Seminar: Hot Topics in Bioinformatics,3.0,../../campus/all/abstractModuleView.asp?gguid=0xE0DD9FE44DCD7A45AEAC4E7B9EA9181A&camvguid=0xC5447623762A3A4C98F64ADA1D02D7DF&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100753 – Gestaltungsgrundsätze für interaktive Echtzeitsysteme,3.0,../../campus/all/abstractModuleView.asp?gguid=0x4E09EEE295612546BB32C1BC92C6578F&camvguid=0xC8AB1954D7CE414784A35324DED4E9F6&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100754 – Algorithmische Kartografie,5.0,../../campus/all/abstractModuleView.asp?gguid=0x8289DE51BEB82F4DBF058E6C65D44AD3&camvguid=0x5BD6D3EA2D99A34E9E486F13FF097C51&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100756 – Geometrische Grundlagen der Geometrieverarbeitung,5.0,../../campus/all/abstractModuleView.asp?gguid=0x40707C41ED0EE142B609D553D04C66DE&camvguid=0x2847489942374E268DD45C9754C8817E&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100757 – Mechano-Informatik in der Robotik,4.0,../../campus/all/abstractModuleView.asp?gguid=0xB793EAB5BA71E34A82B329E36EC6D12D&camvguid=0x7EB219CA289DEE43A1776341FB7D6FE2&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100758 – Graphpartitionierung und Graphenclustern in Theorie und Praxis,5.0,../../campus/all/abstractModuleView.asp?gguid=0x685B03C0F4737843BEC8170066083FA0&camvguid=0x421CA64B7C72410098F41CEDE9D78227&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100761 – Verteiltes Rechnen,4.0,../../campus/all/abstractModuleView.asp?gguid=0xDF41FBC1BC3B4E48860EA8B93848C7E6&camvguid=0xBB091EEF47E27B4A8547C7D86287DDC5&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100762 – Algorithmische Graphentheorie,5.0,../../campus/all/abstractModuleView.asp?gguid=0x871831160C75E249A44465160CE601B0&camvguid=0x1CC294C61699D44CB2BB905B2122E305&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100763 – Requirements Engineering ,3.0,../../campus/all/abstractModuleView.asp?gguid=0xBA9A2F191348A240A2B7348708F93B45&camvguid=0x5D74DA55701473408DADD9E3BC5B5FC2&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100780 – Datenbankeinsatz,5.0,../../campus/all/abstractModuleView.asp?gguid=0xE7DA6959CDA7DF4B904BCFA9A77D4A43&camvguid=0x302C56AD705B9E468B137A7E56664134&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100782 – Netzsicherheit: Architekturen und Protokolle,4.0,../../campus/all/abstractModuleView.asp?gguid=0xB7486E036659F3499EBAF56ADE63C99B&camvguid=0xAF4ACB9846942A478324356EDFF520D0&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100784 – Next Generation Internet,4.0,../../campus/all/abstractModuleView.asp?gguid=0x8B2C801CC663E24D9A0C7D2226DDF514&camvguid=0x10115E19A97F1A4693140E09AB00DC04&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100785 – Mobilkommunikation,4.0,../../campus/all/abstractModuleView.asp?gguid=0xFDE10C60D051394BB65A0937B5D49D52&camvguid=0xADB388B246C85E43BE608083B32ACB3A&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100786 – IT-Sicherheitsmanagement für vernetzte Systeme,5.0,../../campus/all/abstractModuleView.asp?gguid=0x5EF9DEF30648F941B5D8BB27AB5F54F7&camvguid=0xF6EBC0C98DB4574B93256E231A92AC61&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100789 – Ubiquitäre Informationstechnologien,5.0,../../campus/all/abstractModuleView.asp?gguid=0x5B964AA63FDDE447A448CB89A1DCB96E&camvguid=0x61A6C463FDF0A04EA315939D6A8F5FA3&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100791 – Innovative Konzepte zur Programmierung von Industrierobotern,4.0,../../campus/all/abstractModuleView.asp?gguid=0x5F3A9B6271890F42BE928A5A13625845&camvguid=0x41AD8D913A72B44DB7D4F40A037F3530&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100794 – Randomisierte Algorithmen,5.0,../../campus/all/abstractModuleView.asp?gguid=0x0213594D56ADD442A4CED3F73EDCBF78&camvguid=0x39B6049B1C063848A31D7BD166558D3E&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100795 – Algorithm Engineering,5.0,../../campus/all/abstractModuleView.asp?gguid=0x5993076126200045A6E9561751A8ECCF&camvguid=0x733B1C3F13A74BC18A1A672A6BFD0F9A&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100796 – Parallele Algorithmen,5.0,../../campus/all/abstractModuleView.asp?gguid=0xF73BD1698A17E843874328FD95FD7069&camvguid=0x744F2C70F3314D79847A0EB8E11F852D&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100797 – Algorithmen in Zellularautomaten,5.0,../../campus/all/abstractModuleView.asp?gguid=0x46CF361001FB2644A89E0FFA14721D8A&camvguid=0x09156E9E03BF9240ABE390A0079B77B8&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100798 – Empirische Softwaretechnik,4.0,../../campus/all/abstractModuleView.asp?gguid=0x39E1849C6171454895DC957E6ACED37C&camvguid=0x322479D78240D944B03255B25EAB0A7F&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100799 – Formale Systeme,6.0,../../campus/student/specificModuleView.asp?gguid=0x346C0DBDE5E14301AE182F889A77CA4D&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100800 – Internet of Everything,4.0,../../campus/all/abstractModuleView.asp?gguid=0xE4BB2A4589E51B4AA1AF1794F1154184&camvguid=0x3BB57902FEDDCE4880AEA5F18BC56106&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100801 – Telematik,6.0,../../campus/all/abstractModuleView.asp?gguid=0x61AFB44AF5C3FD47A36DB5C30690244C&camvguid=0x40FF7DBE9DEF094BA7008E35C00167D3&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100803 – Echtzeitsysteme,6.0,../../campus/all/abstractModuleView.asp?gguid=0xFCC038322D3AF74D8F5CEE8A8B6AEA7A&camvguid=0x5AF7E34B421E12488920C639B262E285&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100804 – Power Management,3.0,../../campus/all/abstractModuleView.asp?gguid=0x3EF2DA86F4724E478EAE7EA621272D77&camvguid=0x26C11975A8FCA74397DEEE4CC0E1D5A2&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100806 – Sprachtechnologie und Compiler,8.0,../../campus/all/abstractModuleView.asp?gguid=0x37F47E6351A4F040BEC0365C761A130F&camvguid=0x9FD810C57E55E640A41077D5B610E2C8&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100807 – Low Power Design,3.0,../../campus/all/abstractModuleView.asp?gguid=0x03A8DBF136EA544B8DB5FF58F4ADD83E&camvguid=0x968AD9E0057978428AC52DC9CAC5B63E&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100808 – Parallelrechner und Parallelprogrammierung,4.0,../../campus/all/abstractModuleView.asp?gguid=0x25E582DFDEB12540B590A59987F8B431&camvguid=0xB1B095D47C6E3F41B37B8951EEC5DF5B&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100812 – Netze und Punktwolken,3.0,../../campus/all/abstractModuleView.asp?gguid=0xCC244C782B57D2439495DEB6A2D5316C&camvguid=0x2465B3A6FD24B848913B9C2D066FFD2F&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100814 – Biologisch Motivierte Robotersysteme,3.0,../../campus/all/abstractModuleView.asp?gguid=0xFEAFA0F5A999DB4EB37CA1832889960F&camvguid=0x2C5680975BF33E4AAA5B5A95BE303DD3&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100818 – Rechnerstrukturen,6.0,../../campus/all/abstractModuleView.asp?gguid=0x60F0548AB688414087884F8143C1BABD&camvguid=0xC1C7EFC3A9A3AE4F9FF6CE0EC46825B1&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100822 – Heterogene parallele Rechensysteme,3.0,../../campus/all/abstractModuleView.asp?gguid=0xFCA5B33F187A4D449807C8D1E546DB2D&camvguid=0x70AA395A0D3ECF4EAEE037FEA7237EC9&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100823 – Signale und Codes,3.0,../../campus/all/abstractModuleView.asp?gguid=0xA0554B020E3E344DB909F49C64FACB6F&camvguid=0xF31880BD58659B459964913276AF539D&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100824 – Mensch-Maschine-Wechselwirkung in der Anthropomatik: Basiswissen,3.0,../../campus/all/abstractModuleView.asp?gguid=0x96A4406EBF9A4D4885E0ACB76AC55A01&camvguid=0x381C3E158380CD45B95A47FE27A20D66&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100825 – Mustererkennung,6.0,../../campus/all/abstractModuleView.asp?gguid=0xD6EA7196C0F31047A98DEB54A625E7F5&camvguid=0x949DB4A5B71044A296B7F78419055029&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100826 – Automatische Sichtprüfung und Bildverarbeitung,6.0,../../campus/all/abstractModuleView.asp?gguid=0xCEDF7DB984DEE04F99E2707C9374A221&camvguid=0x66F2E3608502AE4A80DE580F3939E06C&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100829 – Stochastische Informationsverarbeitung,6.0,../../campus/all/abstractModuleView.asp?gguid=0x23216C7C6DA3DA4D8358A3C35A5503B8&camvguid=0x79796E51911DF74493C7AB023B77D0D9&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100830 – Optimierung und Synthese Eingebetteter Systeme (ES1),3.0,../../campus/all/abstractModuleView.asp?gguid=0x012917FD6AE22E4CB98E4DAEDE0877BA&camvguid=0x3B28DA7F6ACBD945A212C0126B2118DE&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100831 – Entwurf und Architekturen für Eingebettete Systeme (ES2),3.0,../../campus/all/abstractModuleView.asp?gguid=0x14B17D64016ECA4EACC119142C08D940&camvguid=0x43A5A141FCE7D548B0EEC653DE7D3D3F&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100833 – Softwaretechnik II,6.0,../../campus/all/abstractModuleView.asp?gguid=0x2713BF35B7E7844D879357975B9A414A&camvguid=0xF86DD62F0D7C824AB25125836646DE4D&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100837 – Kurven und Flächen im CAD I,5.0,../../campus/all/abstractModuleView.asp?gguid=0xCBE68B1DCC89C24E86E8F22FEFA56D88&camvguid=0xA3626F6662EBAF4CBBCE8C3E0C4B779A&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100839 – Unscharfe Mengen,6.0,../../campus/all/abstractModuleView.asp?gguid=0x9C5DE391B493494ABC3D25D4EE25D361&camvguid=0x2F78C1867D93BB479AF354385953968D&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
